i,group,x1,x2,omega1,omega2,A1,A2,res1,res2,lambda_min,lambda_max,anisotropy,detG,logdetG,lambda_radial,lambda_tangent,ratio_tangent_radial
156,0,0.42676824705344685,0.16451048087071912,1.0062579773375426,0.44276855135813314,1.011995261477108,0.4447215212947134,-0.005737284139565313,-0.0019529699365802289,2.08689679321187,2.460890287031215,1.1792103447740436,5.135624048451679,1.636201364419458,2.0900879603902576,2.457699119852826,1.175883104648825
159,0,0.4268596497958332,0.16450270941322434,1.0062579773375426,0.44276855135813314,1.0122206225708876,0.44468857088911085,-0.005962645233344999,-0.0019200195309777013,2.0869421459612205,2.46128951163426,1.1793760149975885,5.136568815241848,1.6363853108864626,2.0901395696545464,2.458092087940935,1.1760420804564755
164,0,0.4266194119646382,0.16445793691610566,1.0062579773375426,0.44276855135813314,1.0116355721231067,0.444584824773039,-0.005377594785564099,-0.0018162734149058668,2.086712915790108,2.4602234473564195,1.1789946900409567,5.133780043328305,1.635842238392921,2.0899101883065083,2.45702617484002,1.1756611306014986
166,0,0.4266169389630459,0.1644686467578195,1.0062579773375426,0.44276855135813314,1.0116283035414355,0.4446163716714052,-0.005370326203892883,-0.001847820313272075,2.0867294363155784,2.4602153533293647,1.1789814771929559,5.133803797467916,1.63584686540936,2.0899239121977056,2.457020877447237,1.1756508756644173
168,0,0.426800374896682,0.16450736616159917,1.0062579773375426,0.44276855135813314,1.0120745179705721,0.44470882062340394,-0.005816540633029499,-0.0019402692652707998,2.0869120829187557,2.4610305110421646,1.1792688974229173,5.135954309925613,1.6362656703055691,2.09010554537401,2.45783704858691,1.1759392027004536
169,0,0.4266805078505618,0.16449232114465118,1.0062579773375426,0.44276855135813314,1.0117817943272394,0.4446783576383907,-0.005523816989696728,-0.0019098062802575533,2.086810128920523,2.4605005125859796,1.1790725368286195,5.134597391878561,1.636001435609256,2.0900016945482283,2.4573089469582743,1.175744954354902
170,0,0.4264587497825899,0.16444987956081636,1.0062579773375426,0.44276855135813314,1.011241860568165,0.44457931600779615,-0.004983883230622377,-0.0018107646496630103,2.0865960882540966,2.4595159671622797,1.178721641915956,5.1320163960793055,1.6354986416195463,2.089787735994182,2.456324319422196,1.1753941690415943
173,0,0.4266446120925214,0.16449712597984217,1.0062579773375426,0.44276855135813314,1.0116930947795504,0.4446964155374542,-0.005435117442007753,-0.0019278641793210594,2.086795274474358,2.4603441844911713,1.1790060168268814,5.134234617776643,1.6359307802315604,2.089983940116364,2.4571555188491656,1.1756815311759565
176,0,0.42704115952083815,0.16450908365166847,1.0062579773375426,0.44276855135813314,1.0126657114906072,0.444686792675492,-0.006407734153064615,-0.0019182413173588486,2.087068749203389,2.4620878381267848,1.179686983989644,5.138546584748144,1.6367702738681382,2.0902731130549084,2.458883474275265,1.1763455497361477
189,0,0.42673408072356817,0.16448520832892516,1.0062579773375426,0.44276855135813314,1.0119141688693016,0.44465157872019306,-0.005656191531759003,-0.0018830273620599192,2.086832430614481,2.460733859773886,1.1791717550839993,5.135139221687294,1.6361069553182075,2.090028310198245,2.4575379801901214,1.175839565521013
191,0,0.4268712883246171,0.16450443775157605,1.0062579773375426,0.44276855135813314,1.0122490144668286,0.4446923089979455,-0.005991037129285948,-0.0019237576398123402,2.0869524792664187,2.4613410349494,1.1793948637558733,5.136701775207823,1.6364111955285172,2.090150018216051,2.458143495999768,1.1760607968694041
196,0,0.42644311911146304,0.16446898505328797,1.0062579773375426,0.44276855135813314,1.0112013424060644,0.44463686056676205,-0.004943365068521777,-0.0018683092086289044,2.086618542063706,2.4594523543382043,1.178678471775564,5.131938885884333,1.6354835382421746,2.089804675727485,2.4562662206744252,1.1753568403800085
198,0,0.42673790254813987,0.16450553197374654,1.0062579773375426,0.44276855135813314,1.0119212858205344,0.4447104817035827,-0.005663308482991791,-0.0019419303454495385,2.0868690836451,2.4607558324835104,1.1791615735594438,5.135275269209197,1.6361334484109706,2.090060056983954,2.4575648591446564,1.1758345655823057
200,0,0.4267426434571818,0.16445863099535613,1.0062579773375426,0.44276855135813314,1.0119381683034754,0.4445730293378249,-0.005680190965932752,-0.0018044779796917432,2.086793173645758,2.4607646719311833,1.1792087030992506,5.1351069193346355,1.6361006648452792,2.0899961156914966,2.4575617298854437,1.1758690417816084
